time,open,high,low,close,volume
10.05.2020 00:00:00.000,9944,9944,9944,9944,0
10.05.2020 01:00:00.000,9944,9944,9944,9944,0
10.05.2020 02:00:00.000,9944,9944,9944,9944,0
10.05.2020 03:00:00.000,9944,9944,9944,9944,0
10.05.2020 04:00:00.000,9944,9944,9944,9944,0
10.05.2020 05:00:00.000,9944,9944,9944,9944,0
10.05.2020 06:00:00.000,9944,9944,9944,9944,0
10.05.2020 07:00:00.000,9944,9944,9944,9944,0
10.05.2020 08:00:00.000,9944,9944,9944,9944,0
10.05.2020 09:00:00.000,9944,9944,9944,9944,0
10.05.2020 10:00:00.000,9944,9944,9944,9944,0
10.05.2020 11:00:00.000,9944,9944,9944,9944,0
10.05.2020 12:00:00.000,9944,9944,9944,9944,0
10.05.2020 13:00:00.000,9944,9944,9944,9944,0
10.05.2020 14:00:00.000,9944,9944,9944,9944,0
10.05.2020 15:00:00.000,9944,9944,9944,9944,0
10.05.2020 16:00:00.000,9944,9944,9944,9944,0
10.05.2020 17:00:00.000,9944,9944,9944,9944,0
10.05.2020 18:00:00.000,9944,9944,9944,9944,0
10.05.2020 19:00:00.000,9944,9944,9944,9944,0
10.05.2020 20:00:00.000,9944,9944,9944,9944,0
10.05.2020 21:00:00.000,8675,8726,8631,8667,100718.9974
10.05.2020 22:00:00.000,8667,8742,8639,8728,51804866.7908
10.05.2020 23:00:00.000,8728,8783,8529,8680,61198581.6956
11.05.2020 00:00:00.000,8680,8755,8657,8720,52992271.4233
11.05.2020 01:00:00.000,8720,8725,8640,8662,34908161.1633
11.05.2020 02:00:00.000,8662,8709,8645,8698,41676170.3491
11.05.2020 03:00:00.000,8698,8720,8615,8647,37798221.5881
11.05.2020 04:00:00.000,8647,8660,8575,8584,38482032.7759
11.05.2020 05:00:00.000,8584,8649,8568,8642,40408573.1506
11.05.2020 06:00:00.000,8642,8680,8618,8632,38851001.7395
11.05.2020 07:00:00.000,8632,8653,8574,8612,35625957.489
11.05.2020 08:00:00.000,8612,8631,8524,8587,49996822.3572
11.05.2020 09:00:00.000,8586,8590,8428,8434,48062503.8147
11.05.2020 10:00:00.000,8434,8822,8434,8751,82909645.0806
11.05.2020 11:00:00.000,8751,8936,8706,8870,61396705.6274
11.05.2020 12:00:00.000,8871,9116,8780,8831,81335601.8066
11.05.2020 13:00:00.000,8830,8918,8712,8796,71679405.2124
11.05.2020 14:00:00.000,8796,8888,8787,8815,56738845.8252
11.05.2020 15:00:00.000,8815,8909,8768,8835,60359481.8115
11.05.2020 16:00:00.000,8835,8875,8350,8552,73895034.79
11.05.2020 17:00:00.000,8552,8620,8403,8454,85231796.2646
11.05.2020 18:00:00.000,8456,8591,8146,8545,87513320.9229
11.05.2020 19:00:00.000,8546,8708,8388,8695,80430343.6279
11.05.2020 20:00:00.000,8695,8748,8536,8580,60963195.8008
11.05.2020 21:00:00.000,8580,8642,8426,8534,42738258.3618
11.05.2020 22:00:00.000,8533,8594,8486,8551,59953960.4187
11.05.2020 23:00:00.000,8552,8591,8462,8516,59266860.9619
12.05.2020 00:00:00.000,8515,8628,8487,8562,59596630.0964
12.05.2020 01:00:00.000,8562,8593,8518,8567,39864971.1609
12.05.2020 02:00:00.000,8567,8633,8546,8585,42029968.2617
12.05.2020 03:00:00.000,8585,8684,8582,8662,42839092.2546
12.05.2020 04:00:00.000,8662,8695,8614,8649,37513187.4084
12.05.2020 05:00:00.000,8649,8729,8649,8678,41714679.718
12.05.2020 06:00:00.000,8678,8707,8606,8645,36128498.0774
12.05.2020 07:00:00.000,8644,8660,8565,8601,30317455.2917
12.05.2020 08:00:00.000,8601,8708,8583,8693,48897914.8865
12.05.2020 09:00:00.000,8693,8770,8691,8733,52322177.887
12.05.2020 10:00:00.000,8733,8767,8681,8727,45790714.2639
12.05.2020 11:00:00.000,8727,8758,8675,8749,40217720.0317
12.05.2020 12:00:00.000,8749,8764,8687,8717,43557872.7722
12.05.2020 13:00:00.000,8717,8727,8614,8684,38629508.9722
12.05.2020 14:00:00.000,8684,8868,8684,8838,65752075.1953
12.05.2020 15:00:00.000,8838,8891,8807,8820,55624271.3928
12.05.2020 16:00:00.000,8820,8903,8820,8874,64270317.0776
12.05.2020 17:00:00.000,8874,8922,8789,8831,68017562.8662
12.05.2020 18:00:00.000,8831,8861,8788,8849,59687229.1565
12.05.2020 19:00:00.000,8849,8875,8739,8741,59304798.1262
12.05.2020 20:00:00.000,8741,8794,8724,8768,60637298.584
12.05.2020 21:00:00.000,8768,8801,8693,8727,52397266.3879
12.05.2020 22:00:00.000,8727,8781,8699,8766,62453800.2014
12.05.2020 23:00:00.000,8767,8796,8732,8766,52788543.7012
13.05.2020 00:00:00.000,8766,8892,8749,8887,62595424.6521
13.05.2020 01:00:00.000,8887,8908,8848,8898,43152957.9163
13.05.2020 02:00:00.000,8898,8923,8846,8889,49495323.1812
13.05.2020 03:00:00.000,8888,8898,8846,8861,40259048.4619
13.05.2020 04:00:00.000,8861,8885,8822,8879,53844806.6711
13.05.2020 05:00:00.000,8879,8888,8820,8829,38505012.5122
13.05.2020 06:00:00.000,8829,8868,8818,8864,41486991.8823
13.05.2020 07:00:00.000,8864,8869,8809,8817,34983386.9934
13.05.2020 08:00:00.000,8817,8865,8780,8859,46179759.9792
13.05.2020 09:00:00.000,8858,8880,8843,8866,35884521.4844
13.05.2020 10:00:00.000,8866,8910,8846,8901,40606777.1912
13.05.2020 11:00:00.000,8901,8993,8884,8983,58925415.0391
13.05.2020 12:00:00.000,8983,9052,8943,9039,53360328.6743
13.05.2020 13:00:00.000,9039,9068,8995,9033,58582771.3013
13.05.2020 14:00:00.000,9034,9088,8997,9035,60468223.5718
13.05.2020 15:00:00.000,9035,9130,9035,9092,66683082.5806
13.05.2020 16:00:00.000,9092,9119,9008,9065,65765319.8242
13.05.2020 17:00:00.000,9065,9069,9006,9039,52751155.8533
13.05.2020 18:00:00.000,9038,9063,9025,9031,43307952.8809
13.05.2020 19:00:00.000,9031,9114,9030,9108,52968479.1565
13.05.2020 20:00:00.000,9108,9287,9098,9246,83898780.8228
13.05.2020 21:00:00.000,9246,9357,9241,9308,76477218.6279
13.05.2020 22:00:00.000,9308,9322,9224,9273,52267715.4541
13.05.2020 23:00:00.000,9273,9302,9248,9266,49200607.2998
14.05.2020 00:00:00.000,9266,9335,9248,9255,55190147.3999
14.05.2020 01:00:00.000,9255,9282,9222,9224,40039863.5864
14.05.2020 02:00:00.000,9224,9290,9213,9286,40207851.4099
14.05.2020 03:00:00.000,9287,9307,9264,9301,34114521.0266
14.05.2020 04:00:00.000,9301,9302,9253,9267,36906906.1279
14.05.2020 05:00:00.000,9266,9395,9219,9386,58361312.8662
14.05.2020 06:00:00.000,9386,9422,9354,9395,55848220.8252
14.05.2020 07:00:00.000,9395,9493,9363,9457,56987510.6812
14.05.2020 08:00:00.000,9457,9596,9431,9562,61268783.5693
14.05.2020 09:00:00.000,9562,9770,9561,9753,84786346.4355
14.05.2020 10:00:00.000,9754,9889,9547,9596,72349899.292
14.05.2020 11:00:00.000,9596,9717,9595,9626,53114448.5474
14.05.2020 12:00:00.000,9626,9654,9510,9532,48481407.1655
14.05.2020 13:00:00.000,9531,9594,9491,9571,45641864.7766
14.05.2020 14:00:00.000,9571,9708,9558,9652,60706737.5183
14.05.2020 15:00:00.000,9652,9708,9613,9697,53524059.2957
14.05.2020 16:00:00.000,9697,9728,9567,9623,52956851.9592
14.05.2020 17:00:00.000,9623,9623,9524,9566,40352783.2031
14.05.2020 18:00:00.000,9566,9630,9532,9624,35770103.4546
14.05.2020 19:00:00.000,9624,9666,9601,9605,35826656.3416
14.05.2020 20:00:00.000,9605,9816,9554,9603,56481071.4722
14.05.2020 21:00:00.000,9603,9725,9563,9723,37442794.7998
14.05.2020 22:00:00.000,9722,9760,9678,9702,30565414.4287
14.05.2020 23:00:00.000,9702,9793,9685,9738,27078918.457
15.05.2020 00:00:00.000,9738,9789,9667,9715,20377845.7642
15.05.2020 01:00:00.000,9715,9720,9674,9683,33103515.625
15.05.2020 02:00:00.000,9683,9689,9198,9437,42625385.2844
15.05.2020 03:00:00.000,9437,9503,9390,9426,27737752.9144
15.05.2020 04:00:00.000,9426,9449,9380,9382,20164171.2189
15.05.2020 05:00:00.000,9382,9462,9321,9447,25294847.4884
15.05.2020 06:00:00.000,9447,9492,9442,9491,22405349.7314
15.05.2020 07:00:00.000,9491,9667,9486,9620,38887485.5042
15.05.2020 08:00:00.000,9620,9650,9552,9558,46951248.1689
15.05.2020 09:00:00.000,9558,9597,9510,9556,43595790.863
15.05.2020 10:00:00.000,9556,9569,9440,9531,50813220.9778
15.05.2020 11:00:00.000,9531,9593,9500,9534,44073307.0374
15.05.2020 12:00:00.000,9534,9534,9449,9467,38844879.1504
15.05.2020 13:00:00.000,9467,9515,9429,9481,44155849.4568
15.05.2020 14:00:00.000,9481,9558,9481,9508,47626388.5498
15.05.2020 15:00:00.000,9508,9508,9368,9414,46415107.7271
15.05.2020 16:00:00.000,9414,9455,9388,9415,46519775.3906
15.05.2020 17:00:00.000,9414,9441,9385,9415,24277980.8044
15.05.2020 18:00:00.000,9414,9473,9414,9433,30621898.6511
15.05.2020 19:00:00.000,9433,9450,9273,9283,39924495.697
15.05.2020 20:00:00.000,9283,9343,9092,9186,37482189.1785
15.05.2020 21:00:00.000,9186,9186,9186,9186,0
15.05.2020 22:00:00.000,9186,9186,9186,9186,0
15.05.2020 23:00:00.000,9186,9186,9186,9186,0
16.05.2020 00:00:00.000,9186,9186,9186,9186,0
16.05.2020 01:00:00.000,9186,9186,9186,9186,0
16.05.2020 02:00:00.000,9186,9186,9186,9186,0
16.05.2020 03:00:00.000,9186,9186,9186,9186,0
16.05.2020 04:00:00.000,9186,9186,9186,9186,0
16.05.2020 05:00:00.000,9186,9186,9186,9186,0
16.05.2020 06:00:00.000,9186,9186,9186,9186,0
16.05.2020 07:00:00.000,9186,9186,9186,9186,0
16.05.2020 08:00:00.000,9186,9186,9186,9186,0
16.05.2020 09:00:00.000,9186,9186,9186,9186,0
16.05.2020 10:00:00.000,9186,9186,9186,9186,0
16.05.2020 11:00:00.000,9186,9186,9186,9186,0
16.05.2020 12:00:00.000,9186,9186,9186,9186,0
16.05.2020 13:00:00.000,9186,9186,9186,9186,0
16.05.2020 14:00:00.000,9186,9186,9186,9186,0
16.05.2020 15:00:00.000,9186,9186,9186,9186,0
16.05.2020 16:00:00.000,9186,9186,9186,9186,0
16.05.2020 17:00:00.000,9186,9186,9186,9186,0
16.05.2020 18:00:00.000,9186,9186,9186,9186,0
16.05.2020 19:00:00.000,9186,9186,9186,9186,0
16.05.2020 20:00:00.000,9186,9186,9186,9186,0
16.05.2020 21:00:00.000,9186,9186,9186,9186,0
16.05.2020 22:00:00.000,9186,9186,9186,9186,0
16.05.2020 23:00:00.000,9186,9186,9186,9186,0
17.05.2020 00:00:00.000,9186,9186,9186,9186,0
17.05.2020 01:00:00.000,9186,9186,9186,9186,0
17.05.2020 02:00:00.000,9186,9186,9186,9186,0
