time,open,high,low,close,volume
10.05.2020 00:00:00.000,213,213,213,213,0
10.05.2020 01:00:00.000,213,213,213,213,0
10.05.2020 02:00:00.000,213,213,213,213,0
10.05.2020 03:00:00.000,213,213,213,213,0
10.05.2020 04:00:00.000,213,213,213,213,0
10.05.2020 05:00:00.000,213,213,213,213,0
10.05.2020 06:00:00.000,213,213,213,213,0
10.05.2020 07:00:00.000,213,213,213,213,0
10.05.2020 08:00:00.000,213,213,213,213,0
10.05.2020 09:00:00.000,213,213,213,213,0
10.05.2020 10:00:00.000,213,213,213,213,0
10.05.2020 11:00:00.000,213,213,213,213,0
10.05.2020 12:00:00.000,213,213,213,213,0
10.05.2020 13:00:00.000,213,213,213,213,0
10.05.2020 14:00:00.000,213,213,213,213,0
10.05.2020 15:00:00.000,213,213,213,213,0
10.05.2020 16:00:00.000,213,213,213,213,0
10.05.2020 17:00:00.000,213,213,213,213,0
10.05.2020 18:00:00.000,213,213,213,213,0
10.05.2020 19:00:00.000,213,213,213,213,0
10.05.2020 20:00:00.000,213,213,213,213,0
10.05.2020 21:00:00.000,187,189,186,188,962000.0124
10.05.2020 22:00:00.000,188,189,186,187,9866499.9008
10.05.2020 23:00:00.000,187,188,184,186,17446750.6409
11.05.2020 00:00:00.000,186,190,186,189,11763750.0763
11.05.2020 01:00:00.000,189,189,187,188,5251249.7902
11.05.2020 02:00:00.000,188,189,187,189,3688750.0286
11.05.2020 03:00:00.000,189,189,187,187,7371250.1526
11.05.2020 04:00:00.000,187,188,186,186,7456749.9161
11.05.2020 05:00:00.000,186,187,185,187,6397749.9008
11.05.2020 06:00:00.000,186,187,186,186,4372000.2174
11.05.2020 07:00:00.000,186,187,184,186,4695750.2365
11.05.2020 08:00:00.000,186,186,183,185,8593000.412
11.05.2020 09:00:00.000,185,185,182,182,9402500.1526
11.05.2020 10:00:00.000,183,188,182,186,16051750.1831
11.05.2020 11:00:00.000,186,189,185,188,10912500.3815
11.05.2020 12:00:00.000,188,192,186,186,20789499.2828
11.05.2020 13:00:00.000,186,187,185,186,15020999.9084
11.05.2020 14:00:00.000,186,187,186,187,5884749.8894
11.05.2020 15:00:00.000,187,188,186,187,6282249.9275
11.05.2020 16:00:00.000,187,188,180,182,16995000.8392
11.05.2020 17:00:00.000,182,184,181,182,16305999.7559
11.05.2020 18:00:00.000,182,183,175,182,27298749.9237
11.05.2020 19:00:00.000,182,187,180,186,22458499.9084
11.05.2020 20:00:00.000,186,187,184,185,13227749.8245
11.05.2020 21:00:00.000,185,187,182,184,7639999.8665
11.05.2020 22:00:00.000,184,185,184,184,8433750.1526
11.05.2020 23:00:00.000,185,185,183,184,9195249.5575
12.05.2020 00:00:00.000,184,187,184,185,8169500.351
12.05.2020 01:00:00.000,185,186,185,186,5689249.9924
12.05.2020 02:00:00.000,186,188,186,187,5279749.8703
12.05.2020 03:00:00.000,187,188,186,187,5763249.8741
12.05.2020 04:00:00.000,187,188,186,186,8253749.8474
12.05.2020 05:00:00.000,186,188,186,187,5761750.2213
12.05.2020 06:00:00.000,187,188,186,187,4883500.0992
12.05.2020 07:00:00.000,187,187,186,187,6226250.1717
12.05.2020 08:00:00.000,187,188,186,188,6614749.9084
12.05.2020 09:00:00.000,188,190,188,188,6952250.0038
12.05.2020 10:00:00.000,188,189,187,189,6247000.2174
12.05.2020 11:00:00.000,189,190,188,189,3245500.0877
12.05.2020 12:00:00.000,190,190,188,189,4372250.0801
12.05.2020 13:00:00.000,189,189,187,189,4910250.1869
12.05.2020 14:00:00.000,189,191,189,190,9861749.649
12.05.2020 15:00:00.000,190,190,189,190,5720250.1297
12.05.2020 16:00:00.000,190,191,189,190,5453999.9962
12.05.2020 17:00:00.000,190,191,189,190,6002749.9199
12.05.2020 18:00:00.000,189,190,189,189,4018499.8512
12.05.2020 19:00:00.000,189,190,188,188,7081999.7787
12.05.2020 20:00:00.000,188,189,187,188,7573750.0191
12.05.2020 21:00:00.000,188,189,186,187,5960750.103
12.05.2020 22:00:00.000,187,189,186,188,23159500.1221
12.05.2020 23:00:00.000,188,189,187,188,14239749.9084
13.05.2020 00:00:00.000,188,190,188,190,19617750.1678
13.05.2020 01:00:00.000,190,191,189,190,16885000.2289
13.05.2020 02:00:00.000,190,190,189,190,13154999.733
13.05.2020 03:00:00.000,190,190,189,189,9083749.7711
13.05.2020 04:00:00.000,189,190,189,189,6629499.9123
13.05.2020 05:00:00.000,189,189,188,188,2190249.9199
